Variant,Condition,ROI,RCADS Scale,Score Column,N,Pearson r,Pearson CI 95% Low,Pearson CI 95% High,Pearson p,Spearman rho,Spearman p,Most Influential PID,Pearson r Without Most Influential PID,Leave-One-Out r Minimum,Leave-One-Out r Maximum,Pearson q (BH-FDR),Pearson q (BY-FDR),Pearson p (Holm),Spearman q (BH-FDR),Spearman q (BY-FDR),Spearman p (Holm)
All 35 participants; T scores,Neutral Angry,O,Separation Anxiety,Separation Anxiety T,35,0.010844247561751511,-0.32357162272634543,0.3428517915650295,0.9507004414074793,-0.08411177717539191,0.6309480596554472,P4,-0.10469187110964956,-0.10469187110964956,0.08051068571600475,0.9723072696212857,1.0,1.0,0.9856903698584495,1.0,1.0
All 35 participants; T scores,Neutral Angry,O,Generalized Anxiety,Generalized Anxiety T,35,-0.1252393943653937,-0.4401173780981037,0.2170665519866207,0.4734680481575838,-0.18010544198522072,0.3005203531089758,P16,-0.2536600063813411,-0.2536600063813411,-0.0377773028148705,0.8149014905509329,1.0,1.0,0.8523026095631938,1.0,1.0
All 35 participants; T scores,Neutral Angry,O,Obsessive Compulsive,Obsessive Compulsive T,35,-0.12336266919469673,-0.4385791447503062,0.2188821611162247,0.4801744171017656,-0.2761827694784073,0.10827547824728379,P4,-0.26491761439070854,-0.26491761439070854,-0.04003056171620564,0.8149014905509329,1.0,1.0,0.6720546925693476,1.0,1.0
All 35 participants; T scores,Neutral Angry,Frontal,Social Phobia,Social Phobia T,35,-0.07239271165046371,-0.39608388265387806,0.2673024020540018,0.6794087803814268,-0.01640724907920691,0.9254685719925484,P27,-0.023392520588562705,-0.11644795836703949,-0.023392520588562705,0.918919313141301,1.0,1.0,0.9856903698584495,1.0,1.0
All 35 participants; T scores,Neutral Angry,Frontal,Panic Disorder,Panic Disorder T,35,0.011068565528755483,-0.3233707518449457,0.34304975008569105,0.9496819360162082,0.10653091264332193,0.5424622125597304,P1,-0.09902537253935137,-0.09902537253935137,0.04812681299835149,0.9723072696212857,1.0,1.0,0.9841700300559924,1.0,1.0
All 35 participants; T scores,Neutral Angry,Frontal,Major Depression,Major Depression T,35,0.04553303850310907,-0.2921464568548786,0.37311799223255876,0.7950730863479363,0.10860890882756714,0.5345699135815171,P1,-0.0775352424063237,-0.0775352424063237,0.11585833168457456,0.9397045357055679,1.0,1.0,0.9841700300559924,1.0,1.0
All 35 participants; T scores,Neutral Angry,Frontal,Separation Anxiety,Separation Anxiety T,35,0.008420240856932708,-0.3257403363542336,0.3407107455557875,0.9617111018467533,0.056448972328059344,0.74738817785642,P1,-0.1938079574149914,-0.1938079574149914,0.16722566779730258,0.9723804666858936,1.0,1.0,0.9856903698584495,1.0,1.0
All 35 participants; T scores,Neutral Angry,Frontal,Generalized Anxiety,Generalized Anxiety T,35,0.0368832215117657,-0.30005131561551024,0.36563566277554305,0.8333938118958734,0.12758055546412037,0.465171423160205,P16,-0.09443404794368596,-0.09443404794368596,0.144083926202946,0.9434646927123095,1.0,1.0,0.96834456555666,1.0,1.0
All 35 participants; T scores,Neutral Angry,Frontal,Obsessive Compulsive,Obsessive Compulsive T,35,0.16233875586880275,-0.18068250046718612,0.4701506980057554,0.35147586873226844,0.039111772569283644,0.8234809006333879,P1,-0.028141382057326678,-0.028141382057326678,0.2265284190114199,0.7553951423357717,1.0,1.0,0.9856903698584495,1.0,1.0
All 35 participants; T scores,Neutral Angry,PO,Social Phobia,Social Phobia T,35,0.23414890975691993,-0.10748458321405754,0.526326553810108,0.17578632687874052,0.1099425921204976,0.5295338314666261,P13,0.1656305981173763,0.1656305981173763,0.28058214537737813,0.6846566459274539,1.0,1.0,0.9841700300559924,1.0,1.0
All 35 participants; T scores,Neutral Angry,PO,Panic Disorder,Panic Disorder T,35,0.15980575078110187,-0.18319689190890198,0.46812256206513575,0.35914227138420507,0.1054050905810411,0.5467611278088846,P13,0.038851639416560536,0.038851639416560536,0.24804675517463923,0.7553951423357717,1.0,1.0,0.9841700300559924,1.0,1.0
All 35 participants; T scores,Neutral Angry,PO,Major Depression,Major Depression T,35,0.13483096924032845,-0.20775019777415635,0.4479502342141465,0.43997361116066447,0.13611194000354018,0.4356008338015359,P13,0.0722266440450159,0.0722266440450159,0.1841843401512495,0.8149014905509329,1.0,1.0,0.96834456555666,1.0,1.0
All 35 participants; T scores,Neutral Angry,PO,Separation Anxiety,Separation Anxiety T,35,0.11451654175429049,-0.22740841784280513,0.43130357498186245,0.5124389708984938,0.08635850244218035,0.621820143917146,P27,0.2434670123755746,0.03993517072882686,0.2434670123755746,0.8309821149705304,1.0,1.0,0.9856903698584495,1.0,1.0
All 35 participants; T scores,Neutral Angry,PO,Generalized Anxiety,Generalized Anxiety T,35,0.23979190263741165,-0.10157117666895281,0.5306354614156092,0.16530560066611155,0.09702318180439176,0.5792628712312056,P16,0.03177397708675196,0.03177397708675196,0.334911388878407,0.6678444638101573,1.0,1.0,0.9856903698584495,1.0,1.0
All 35 participants; T scores,Neutral Angry,PO,Obsessive Compulsive,Obsessive Compulsive T,35,0.025515006018733993,-0.3103705534314946,0.3557367961631055,0.8843238048395309,-0.028380744716339397,0.8714339109324282,P30,0.11944765634303292,-0.049879585639100714,0.11944765634303292,0.9705992979946071,1.0,1.0,0.9856903698584495,1.0,1.0
All 35 participants; T scores,Neutral Angry,CP,Social Phobia,Social Phobia T,35,-0.1930647971548157,-0.4944963483616063,0.14982095441830579,0.26648220182205246,-0.17781531480713134,0.30681032130973146,P25,-0.010470785013537034,-0.2676996655602556,-0.010470785013537034,0.7267696413328704,1.0,1.0,0.8523026095631938,1.0,1.0
